statement,label,__index_level_0__
""" Carbon taxes are political poison because they increase gas prices and electric rates ,  said Myron Ebell , who heads the energy program at the Competitive Enterprise Institute , an industry-funded Washington research organization , and who led the Trump administration ' s transition at the Environmental Protection Agency .",intentional,2964
"A quick search would show him that whenever in the past there was an explosion of plant life , the carbon dioxide content was far higher than at present .",fallacy of logic,3463
He's only interested in the attention it brings him.,ad hominem,2529
"An increasing number of people are keeping ferrets as pets, so they must make wonderful companion animals.",ad populum,3857
This legislation is sinful because it is the wrong thing to do.,circular reasoning,1676
"I saw a few college students partying, so all college students must just party.",faulty generalization,1048
"This medicine works because it's effective, and it's effective because it works.",circular reasoning,2949
"My mother has always told me not to drink milk after eating fish because she knows a friend whose skin got patched after drinking milk and eating fish together. Besides, many other people have told me the same thing so it must be true.",faulty generalization,1960
"If you don't approve of this law, you must think laws are unnecessary.",fallacy of extension,2530
What persuasive technique is being used in this photo?,ad populum,4260
"""Everyone else is doing it, so should you.",ad populum,4739
"Future generations are bound to ask why America closed its coal-fueled generating stations , its cheapest , most plentiful source of electric power , and wasted billions of dollars trying to stop insignificant changes in imaginary phenomena .",appeal to emotion,3679
"I met a few people who don't read, so people today must not like reading.",faulty generalization,237
"The new phone is cutting-edge, so it must be able to do things no other phone can.",equivocation,3922
"Pointing to a fancy chart, Roger shows how temperatures have been rising over the past few centuries, whilst at the same time the numbers of pirates have been decreasing; thus pirates cool the world and global warming is a hoax.",false causality,4370
"Everyone seems to be using this app, so it has to be useful.",ad populum,1133
She's only supporting them because it makes her look good.,ad hominem,2880
"The number of teachers who use a particular type of teaching method has increased, and the number of students who learn has also increased. Therefore, using that teaching method must be the cause of student learning",false causality,1805
"Using reusable bags, the newspaper added a section. My bags influence the newspaper.",false causality,4793
"If you're not happy with this event, you must think it's a disaster.",fallacy of extension,163
"Eugene is silly in class. Harry is his friend, so Harry must be silly, too.",faulty generalization,4373
Nike's are great because they're awesome.,circular reasoning,5516
"Exercise is good. Therefore everybody should exercise.'
""'I agree,' said Polly earnestly. 'I mean exercise is wonderful. I mean it builds the body and everything.'",faulty generalization,5461
"Prof Peter Smith at the University of Aberdeen , who was also not part of the research team , said : "" We know food choices are very personal , and that behaviour change can be difficult to encourage , but the evidence is now unequivocal _ we need to change our diets if we are to have a sustainable future .",fallacy of credibility,5468
""" You can play it really badly and let unpleasant things happen earlier ,  he said . "" Or you can push them off by doing some infrastructure repairs and some thoughtful planning . ",false dilemma,4519
"One was the revelation by the European Space Agency that in 2013 and 2014 , after years when the volume of Arctic ice had been diminishing , it increased again by as much as 33 per cent . The other was that Canadian scientists studying the effect of climate change on Arctic ice from an icebreaker had to suspend their research , when their vessel was called to the aid of other ships trapped in the thickest summer ice seen in Hudson Bay for 20 years .",intentional,4648
"I heard that the Catholic Church was involved in a sex scandal cover-up.  Therefore, my 102-year-old Catholic neighbor, who frequently attends Church, is guilty as well!",faulty generalization,265
Horticulturalists pump warm carbon dioxide into glasshouses to stimulate growth .,fallacy of relevance,2001
"The project is a success because everyone supports it, and everyone supports it because it's a success.",circular reasoning,1811
"I am popular because I have many friends, and I have many friends because I am popular.",circular reasoning,3277
Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.,fallacy of extension,4645
"Since you want health care reform, you must want the government to control health care.",fallacy of extension,2978
"The number of businesses that use a particular type of accounting software has increased, and the number of businesses that are profitable has also increased. Therefore, using that accounting software must be the cause of profitability",false causality,4112
Why worry about energy-saving when other countries still use coal?,fallacy of relevance,2906
"Until 2017 , the United States went 11 years without a major hurricane strike  something that is statistically very improbable .",ad populum,4141
"Another climate scientist _ who was not involved in the paper _ emphasised the document aimed to raise questions rather than prove a theory . """,fallacy of credibility,1428
"Huge reductions in meat-eating are essential to avoid dangerous climate change , according to the most comprehensive analysis yet of the food system ' s impact on the environment .",appeal to emotion,398
"MARVIN STONE: You suggest that we scrap the SALT II treaty already negotiated, and intensify the build-up of American power to induce the Soviets to sign a new treaty - one more favorable to us. President Carter, on the other hand, says he will again try to convince a reluctant Congress to ratify the present treaty on the grounds it's the best we can hope to get. Now, both of you cannot be right. Will you tell us why you think you are?
RONALD REAGAN: Yes. I think I'm right because I believe that we must have a consistent foreign policy, a strong America, and a strong economy. And then, as we build up our national security, to restore our margin of safety, we at the same time try to restrain the Soviet build-up, which has been going forward at a rapid pace, and for quite some time.
October 28, 1980
Cleveland, Ohio
What logical fallacy did Reagan's response illustrate the use of?",appeal to emotion,4169
"All judges are fair-minded individuals;  therefore, Judge Ito is fair in his decisions.",fallacy of logic,947
The author's illness proves this book is about mortality.,intentional,3078
"""We shouldn't even bother to interview that job applicant. He has a beard.",ad hominem,3138
"The number of people who exercise regularly has increased, and the number of people who live longer has also increased. Therefore, exercising regularly must be the cause of living longer.",false causality,5170
Compares minor problems with much more serious crimes,fallacy of relevance,4759
Violent video games are directly related to gun violence in schools and should be banned for teens. The school day should start an hour later.,fallacy of relevance,5388
"The car was built with cheap parts, so it only goes to show that the car will fall apart.",ad hominem,4977
Students never used to have cell phones so they don't need them now.,fallacy of credibility,3229
"I saw one fast food restaurant in town, so it must be all junk food around here.",faulty generalization,3728
"There is no concrete proof that Duterte himself is corrupt; therefore, he is an honest politician.",intentional,1452
You're either brilliant or clueless.,false dilemma,593
"The research and reasoning that supposedly supports (or that supposedly discredits) this intervention are a joke. The researchers are people who are not methodologically sophisticated and there have been rumors--I have no idea whether they're true or not--that they faked some of the data. The advocates (or opponents) of this intervention are the worst kind of sloppy thinkers. They are fanatical adherents who already have their minds made up; they've become true believers in their cause. They make arguments only a stupid person would accept, and mistakes in reasoning that would make an undergrad psych major blush. These are not the kind of people who deserve to be taken seriously.",ad hominem,2725
The director's past work on comedies means this movie is a satire.,intentional,41
"Senator Jones supports a strong national defense, and he wants your vote. I would never vote for a coward like him.",ad hominem,560
"If you can't prove that Ken had an affair with the nanny, then he's been faithful to his wife.	",false dilemma,4671
"The economy improved after the government increased spending on infrastructure. Therefore, the increased spending must be the cause of the economic improvement.",false causality,3880
"If you want safer streets, you must want to ban all cars.",fallacy of extension,4034
Don't believe him; he's only interested in his own gain.,ad hominem,243
The author's past traumas define the horror in their writing.,intentional,3172
"In other words , we have , trapped in Arctic permafrost , twice as much carbon as is currently wrecking the atmosphere of the planet , all of it scheduled to be released at a date that keeps getting moved up , partially in the form of a gas that multiplies its warming power 86 times over .",ad populum,1339
"""four out of five dentists agree that brushing your teeth makes your life meaningful",fallacy of credibility,4269
"For example , DDT had all but eliminated malaria in the United States and on the global stage during the mid-20th century . However , environmental activists championed false environmental accusations against DDT and dramatically reduced use of the life-saving mosquito killer throughout much of the world . As a result , malaria has reemerged with a vengeance and millions of people die every year as a result .",false causality,3914
""" Global warming  as in the scary , historically unprecedented , primarily man-made phenomenon which we must address urgently before the icecaps melt and the Pacific islands disappear beneath the waves and all the baby polar bears drown .",ad hominem,405
"The report "" is quite a shock , and quite concerning ,  said Bill Hare , an author of previous I.P.C.C . reports and a physicist with Climate Analytics , a nonprofit organization . "" We were not aware of this just a few years ago. ",fallacy of credibility,1442
gun registration would start us sliding into the unconstitutional morass of universal arms confiscation.,faulty generalization,261
Only global warming alarmists would claim that lusher vegetation and more abundant plant life is a bad thing .,fallacy of extension,3655
The author's background adds depth to the setting of the novel.,intentional,3537
"If you allow the students to redo this one test, they will always want to redo all future tests",faulty generalization,5285
"Feminism is part of ""a socialist, anti-family political movement that encourages women to leave their husbands, kill their children, practice witchcraft, destroy capitalism and become lesbians. (Statement from Pat Robertson)",fallacy of extension,1689
"2 ) CO2 is a greenhouse gas without which life on earth is not possible , but adding it to the
atmosphere should lead to some warming .",fallacy of relevance,3478
The teenagers where rude and disrespectful therefore all teenagers are rude and disrespectful.,faulty generalization,1725
"If we allow a housing development to be built on Sunny Lake, a resort will come next, and soon we won't have any wilderness left!",faulty generalization,1203
Is the Earth truly experiencing the hottest weather on record ? Absolutely not .,fallacy of logic,834
"This policy is necessary because it's been implemented, and it's been implemented because it's necessary.",circular reasoning,1866
"If you love your family, you'll buy this new stealth
security system.",appeal to emotion,2496
Why are you concerned about my personal life when other people have bigger issues?,fallacy of relevance,3016
"For his efforts , Pielke was subjected to a vicious , well-funded smear campaign backed by , among others , the Obama White House and leading Democratic congressmen , culminating in his decision in 2015 to quit the field .",appeal to emotion,4358
"Power lines cause cancer.  I met a little boy with cancer who lived just 20 miles from a power line who looked into my eyes and said, in his weak voice, ""Please do whatever you can so that other kids won't have to go through what I am going through.",appeal to emotion,2010
A commercial shows images of animals in need to persuade the audience to make donations.,appeal to emotion,5366
Trying to be environmentally conscious is useless; one person can't change the whole planet.,fallacy of logic,340
"The fashionable hope that windfarms or recycling could prevent global famine and mass migration was , he assured me , a fantasy ; it was too late for ethical consumption to save us .",faulty generalization,5510
"The fallacy of equivocation occurs when a key term or phrase in an argument is used in an ambiguous way, with one meaning in one portion of the argument and then another meaning in another portion of the argument.",equivocation,1601
"If you believe in equality, you must think everyone should earn the same salary.",fallacy of extension,2796
"First , they rely on IPCC estimates of greenhouse gases , solar changes and other climate forcings , so they can ' t be accused of putting a finger on the scale by their choice of data .",fallacy of credibility,5678
"Either you're loyal, or you're a traitor.",false dilemma,5444
"This job offer is flexible, so I can do anything I want.",equivocation,480
Context is important when reviewing climate and temperature data .,fallacy of credibility,3734
"Murder is morally wrong. Therefore, abortion is morally wrong.",circular reasoning,2785
"A fallacy which assumes that because something is popular, it is therefore good, correct, or desirable.",ad populum,1523
"So you are saying your car is worth $20k.  I think it is worth $1, so let's just compromise and say it is worth $10k. (Assuming the car is worth $20k)",fallacy of relevance,4315
He's just a psychology teacher at a community college,ad hominem,5145
"Since you want stricter safety standards, you must want to ban all risk-taking.",fallacy of extension,5375
"Misrepresents the context from which a quotation is taken; putting words or ideas in people's mouth/head; creating a ""dummy or fake or falsified argument or situation so you can attack it .
This is what fallacy?",fallacy of extension,4039
"Richard Dawkins, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true. Therefore, it's true.",fallacy of credibility,799
"There's no point in pursuing education, as some wealthy people are uneducated.",fallacy of logic,1766
"Since you don't want to go out tonight, you must want to stay home forever.",fallacy of extension,5185
"Mr. Koonin laments the sloppiness of those using local weather "" events  to make claims about long-cycle planetary phenomena . He chastises not so much local news media as journalists with prestigious national media who should know better .",ad hominem,3025
"Brazil , the world ' s largest exporter of red meat , holds around 212 million cattle . ( In June , the U.S. temporarily suspended imports of beef from Brazil due to abscesses , collections of pus , in the meat . )",fallacy of relevance,2453
"However , since 1998 , little warming has occurred while carbon dioxide emissions continue to increase .",fallacy of logic,4915
"The number of athletes who wear a particular brand of shoes has increased, and the number of athletes who win championships has also increased. Therefore, wearing that brand of shoes must be the cause of winning championships.",false causality,4582
Don't trust his opinion on education; he dropped out of school.,ad hominem,4695
"But professor, I got all these facts from a program I saw on TV once... I don't remember the name of it though.",equivocation,5425
"The Earth is round.
Therefore, Trump.",fallacy of logic,363
"I don't care what scientists say, my mother always told me that the world is flat, and she would never lie to me!",fallacy of credibility,1271
The writer's deep friendships influence the loyalty in their narrative.,intentional,4078
"Access to cleaner water has increased ; mortality from ' Extreme Weather Events ' has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies .",appeal to emotion,5369
"Whether a blip or indicative of a new normal , scientists have uniformly expressed disbelief at the current Arctic temperatures and the state of the sea ice .",fallacy of credibility,5601
"I've only read a couple pages of this book, and I've already found a typo. There's no way I'm reading the rest of this garbage.",faulty generalization,5437
"Farmer McDonald: Ever since they put up that new power plant across the river, we haven't had a bit of rain. I'm tellin' you, mankind has got too big for its britches when it fiddles around with nature.",false causality,4792
"Fred, the German, stole my wallet. Therefore, all Germans are thieves.",faulty generalization,347
"By 2100 , Washington could swelter in 95-degree weather for fully one-fifth of the year  around 74 days , on average .",intentional,4108
He's just jealous of those who are successful.,ad hominem,4622
"If you don't approve of this law, you must think laws are unnecessary.",fallacy of extension,3613
"Either this plan works, or we're doomed.",false dilemma,5354
However the warming trend is slower than most climate models have forecast .,intentional,2562
Don't take her seriously; she's just trying to look good.,ad hominem,3027
10 of the last 14 National Spelling Bee Champions have been Indian American. Indian Americans must all be great spellers!,faulty generalization,5314
Using a double standard or arguing for an unjustified exception.,intentional,1423
"This sculpture represents resilience, given the sculptor's life story.",intentional,656
"Our house was burglarized right after that new family moved in next door. Therefore, that new family must have been involved.",false causality,3083
Someone who says something which does not flow logically in the conversation is guilty of using:,fallacy of logic,5339
"If you criticize one part of my plan, you must think the whole thing is wrong.",fallacy of extension,2102
"My roommate from Maine loves lobsters, therefore all people from Maine love lobsters.",faulty generalization,632
"The economic consequences of Obama ' s global warming policies can already be seen in electricity prices , which are currently the highest in U.S. history .",intentional,3946
"The job is prestigious because only prestigious people have it, and they have it because it's prestigious.",circular reasoning,2493
"Our product is the best because it's the best-selling product, and it sells the most because it's the best.",circular reasoning,2665
Of course he wants stricter laws; he doesn't have to follow them.,ad hominem,4189
There was so much ice in the Arctic that the icebreaker it was going to use was needed elsewhere .,false dilemma,5121
"Mrs. Miller taught your older brother, who was the class clown. She decides to be strict with you from the very first day of class because she thinks you will be a clown, too.",faulty generalization,4251
"A new report published by a team of prominent climate scientists confirms what many skeptics have pointed out for years : the climate models have overestimated the amount of global warming and failed to predict what climatologists call the warming `` hiatus , '' over 20 years of almost no change in temperatures .",false causality,4101
"After biking to work, my colleague won the lottery. My biking brought them luck.",false causality,2334
Of course that doctor advocates vaccinationhe probably owns stock in a pharmaceutical company.,ad hominem,3548
"I saw one person not recycling, so people here must not care about recycling.",faulty generalization,4439
"""You're too ugly to be class president!""",ad hominem,2500
"""Be my friend or be my enemy.""",false dilemma,3619
"If you don't like part of my work, you must think all of it is bad.",fallacy of extension,1465
"I did not complete my homework last night? Well, you did not do yours last weak either.",ad hominem,4461
"I know you want to imprison me for having murdered my parents, but judge, have mercy on me, I'm an orphan!",fallacy of relevance,4686
My grades improved after I started using colored pens; they must be the reason.,false causality,115
"I started wearing glasses, and the stock market went up. Wearing glasses boosts the market.",false causality,1821
The surprising thing is that the Energy Balance estimates are very low compared to model-based estimates .,intentional,1494
Adding more CO2 molecules to the atmosphere is like painting over a red wall with white paint  the first coat does most of the work of concealing the red .,fallacy of extension,2401
"I can't stop eating these chocolates.  I really love chocolate, or I seriously lack willpower.  I know I really love chocolate; therefore, I cannot lack willpower.",fallacy of logic,1232
"If there is objective morality, then good moral behavior will be rewarded after death.  I want to be rewarded; therefore, morality must be objective.",appeal to emotion,2661
"`` You can see it visually , '' says Rebecca Irwin , an ecologist from North Carolina State University . `` We have less flowers . ''",fallacy of relevance,2817
"If you're concerned about pollution, you must think all industry is harmful.",fallacy of extension,3799
"If I tell my teacher I have done my homework, but I have only done part of it, I am using",equivocation,5295
You're either totally committed or not at all.,false dilemma,1153
"The 2009 Black Saturday bushfires , which claimed the lives of 173 Australians , are etched into the national consciousness . But in the heatwave that led up to the fires , the number of deaths soared .",appeal to emotion,4603
Come on! Everyone else thinks the movie is great - you should too!,ad populum,5151
"If everyone's talking about it, it must be important.",ad populum,57
Dr. Bloom cannot be a competent marriage counselor because he is divorced.,ad hominem,4316
Stating that something should be done (or agreed to) because everyone else thinks this way.,ad populum,3061
"Watching documentaries, my friend's art sold at auction. My habits helped sell the art.",false causality,4956
Think of all the cute puppies that will be saved if you donate to this charity.,appeal to emotion,5735
How do I know that Beth is the most intelligent person in our geometry class? I know because she's so smart.,circular reasoning,1735
Believing that the cause of the Reformation was simply Martin Luther posting his theses,false causality,5221
"I cannot get a job because the public education system failed me;  I have to steal to  survive.  It is society's fault, not mine.",appeal to emotion,2823
"""Either you pass this test, or you fail it."" Laughed Sr Malak",false dilemma,2196
"""Russia has a terrible human rights record.""
""Well, the United States has done plenty of bad things, but we aren't a bad country, so Russia isn't, either."" -the President when confronted about Russia's human rights abuses.",fallacy of relevance,159
"Although the extent of the summer sea ice after 2006 dropped abruptly to levels not expected until 2050 , the predicted 67-per-cent decline in polar bear numbers simply didn ' t happen .",fallacy of extension,3837
Don't criticize my grades; at least I'm not failing every subject.,fallacy of relevance,2475
You are either a leader or a follower.,false dilemma,2564
The food is delicious because it tastes great.,circular reasoning,4145
You moved the goalposts or made up an exception when your claim was shown to be false.,intentional,3912
"Sea level rise , which was occurring long before humans could be blamed , has not accelerated and still amounts to only 1 inch every ten years .",ad populum,2608
"I met a couple of impatient drivers, so everyone here must be in a rush.",faulty generalization,4479
"It is ridiculous to have spent thousands of dollars to rescue two whales trapped in the ice. Why, look at all the people trapped in jobs they don't like.",fallacy of relevance,707
"Brazil , the world ' s largest exporter of red meat , holds around 212 million cattle . ( In June , the U.S. temporarily suspended imports of beef from Brazil due to abscesses , collections of pus , in the meat . )",fallacy of logic,3046
"""Some tall people recently vandalized the park. Tall people are so irresponsible.""",faulty generalization,4947
Don't worry about my social life when others are isolated.,fallacy of relevance,1093
The artist's religion influences the painting's spiritual theme.,intentional,4420
"This style is trendy because it's fashionable, and it's fashionable because it's trendy.",circular reasoning,1376
"""Dra. Vicky Belo said that all kind of cars need fuel to start.""

What fallacy is being committed in the sentence above?",fallacy of credibility,5698
"However , some experts argue that carbon dioxide is only a minor player in this atmospheric hothouse effect .",intentional,72
"The campaign is about transparency, so they must show everything publicly.",equivocation,1922
"Americans receive a daily barrage from the fake news media and climate "" experts  reporting that each and every day , week , month or year is the hottest on record due to global warming .",fallacy of extension,5008
"`` We stood there cryingfilming with tears rolling down our cheeks , '' he said .",appeal to emotion,1764
Politician Running for Public Office: You can all trust what I say. I have never lied in my life.,circular reasoning,743
"I changed my car's air freshener, and my friend got a new job. The air freshener helped my friend.",false causality,3805
"""I have one Japanese friend and it's true that all of them are numb.""",faulty generalization,1005
Mr. Casal is a bad teacher because he stinks.,ad hominem,2668
"If you want environmental protection, you must want to end all industry.",fallacy of extension,1190
"However , since 1998 , little warming has occurred while carbon dioxide emissions continue to increase . This is totally consistent with variations in the amount of heat the Earth receives from the Sun .",false causality,4244
Several of the papers note that the primary influence on warming appears to be solar activity .,equivocation,2601
"If you don't choose to exercise, then you're choosing to be unhealthy.",false dilemma,1125
"The warmer the planet gets , the more ozone forms , and by mid-century , Americans will likely suffer a 70 percent increase in unhealthy ozone smog , the National Center for Atmospheric Research has projected .",fallacy of credibility,1241
A speaker chooses a deliberately poor or oversimplified example in order to ridicule and refute an idea,fallacy of extension,3771
"""If you believe that I am wrong, prove to me that I am.""",intentional,5194
"In the meantime , the agreement would force American taxpayers to subsidize alternative energy at the expense of clean coal , nuclear power and natural gas _ energy resources that actually work for our economy and our environment .",faulty generalization,5084
"I'm trustworthy because I always tell the truth, and you know I tell the truth because I'm trustworthy.",circular reasoning,5465
Why listen to her advice? She's only looking for attention.,ad hominem,3351
"There is a strong correlation between the rise and fall of temperature and the ebb and flow of civilizations . During the last three warm periods dating back 6,000 years to the advent of the first great civilizations , humanity prospered and great empires arose . Intervening cold periods brought crop failure , famine , and mass depopulation .",fallacy of relevance,998
"Interviewer: ""Your resume looks impressive but I need another reference.""
Bill: ""Jill can give me a good reference.""
Interviewer: ""Good. But how do I know that Jill is trustworthy?""
Bill: ""Certainly. I can vouch for her.""",circular reasoning,4309
"""She teaches engineering, and she said that the proposed bridge was a waste of money. I can't believe she hates our city so much.""",fallacy of extension,3765
Eating healthy is irrelevant since everyone eventually gets some kind of illness.,fallacy of logic,2684
"How about the epidemic of cop shootings in the United States , or the drowned toddlers washing up on Mediterranean shores as families flee the Middle East , or ISIS beheading thousands of Christians ?",fallacy of extension,5021
The poet's journey influences the resilience in their lines.,intentional,1577
You can't criticize my work ethic when others don't even work.,fallacy of relevance,3668
She's only saying that because she feels guilty.,ad hominem,5552
"As soon as the words emissions , climate change and Paris are used , you know you are being conned and that the world ' s biggest scam will continue .",ad hominem,1826
"At extreme high tides , water levels have surged to an inch below the Intracoastal Waterway , says Jennifer Jurado , Broward County ' s chief resiliency officer . "" Once that ' s breached , you ' re open to the ocean _ the supply of water is endless . The system is really at capacity . These are flood conditions , even with just the high tide and supermoon¦ You see men in business suits trying to trudge through water . ",faulty generalization,1343
He's such a cool person because he likes cold weather.,equivocation,5784
Construction and maintenance of wind and solar facilities ­release far more carbon dioxide than they are meant to save over their working lives and they need to be sup­ported 24/7 by coal-fired generators .,intentional,5391
"""everybody's doing it, so it must be a good thing to do.""",ad populum,4786
There's no point in studying for exams since some people succeed without any education.,fallacy of logic,440
That restaurant is popular because everyone in town goes there.,circular reasoning,5741
"The melting Greenland ice sheet is already a major contributor to rising sea level and if it was eventually lost entirely , the oceans would rise by six metres around the world , flooding many of the world ' s largest cities .",intentional,1100
Fatima sneezed and she caused a tsunami in Tokyo.,false causality,2637
"Since you don't like my idea, you must hate all my ideas.",fallacy of extension,4053
"If you don't follow every rule, you're breaking the law.",false dilemma,649
"She's full of energy, so she must never get tired.",equivocation,1546
"Since your parents named you 'Harvest,' they must be farmers.",false causality,3231
Layla is a liar! She should not be trusted to be president for student council!,ad hominem,4338
"If you don't like my suggestion, you must think it's worthless.",fallacy of extension,4402
use of people's desire to be part of the group to convince them,ad populum,4419
"The Earth has experienced five mass extinctions before the one we are living through now , each so complete a slate-wiping of the evolutionary record it functioned as a resetting of the planetary clock , and many climate scientists will tell you they are the best analog for the ecological future we are diving headlong into .",faulty generalization,3918
The extent of global fires has been trending significantly downward .,intentional,2852
"""You're clearly just too young to understand what's happening. The statement is an example of¦",ad hominem,3503
We know the Bible is true because it says so in the Bible.,circular reasoning,4163
Anew study produced by a University of Wisconsin-Madison geoscientist and Northwestern astrophysicist presents an explanation of the fluctuations of the earth 's temperatures that global warming alarmists are going to make sure to bury :,fallacy of credibility,5269
""" It ' s sobering to think of this magnificent landscape and how fundamentally it can change over a relatively short time period ,  he added .",appeal to emotion,630
"I met a few people who don't read, so people today must not like reading.",faulty generalization,672
"The two doctors I met were unfriendly, so all doctors must lack bedside manners.",faulty generalization,1249
"Without this additional insurance, you could find yourself broke and homeless.",appeal to emotion,3817
"It is affected by innumerable interacting variables , atmospheric CO2 levels being just one . The more variables there are in any system or train of events , the lower the probability of all of them coming to pass .",ad populum,482
The playwright's financial troubles mean this play is a critique of wealth.,intentional,1584
"Shelters in poorer countries are not repainted as often , and darker stations absorb more of the sun ' s energy . It ' s no surprise that poor tropical countries show the largest warming from this effect .",intentional,4073
"Since you want people to wear masks, you must want them to wear masks forever.",fallacy of extension,5358
"The economy continues to grow as the number of likes on my Instagram account continue to increase. Clearly, the two are linked.",false causality,4031
The list of the most polluted cities in the world was led by two cities from China followed by two more cities from India .,ad hominem,1462
"The sign says 'fine for parking here,' so I assumed parking here was fine.",equivocation,3040
"""I have a right to free speech so I can say what I want and you shouldn't try to stop me"" is an example of",circular reasoning,4318
"This city had floods right after a new bridge was built, so the bridge must be responsible.",false causality,4650
Global human emissions are only 3 per cent of total annual emissions .,intentional,5019
Taco is the best because it tastes better.,circular reasoning,5773
"In February President Obama said , a little carelessly , that climate change is a greater threat than terrorism .",intentional,3273
"If you don't want to increase military spending, you must not care about national security.",fallacy of extension,3238
"If you're against smoking, you must think smokers are bad people.",fallacy of extension,3131
"Either we raise taxes, or we'll have no public services.",false dilemma,3683
"I don't know about you, but I would never take the word of a woman who never finished school.",ad hominem,2578
People who read are smart.,faulty generalization,4572
"You think labor unions are good? You know who else liked labor unions? Karl Marx, that's who.",ad hominem,49
"Either you spend all your time working, or you're lazy.",false dilemma,4957
There's no need to follow traffic rules since some people break them without consequence.,fallacy of logic,4051
"Since you don't agree with my plan, you must think it's a terrible idea.",fallacy of extension,858
"I met a few friendly people, so everyone in the city must be welcoming.",faulty generalization,3225
Attempting to learn a language is useless since you might forget it if you don't practice.,fallacy of logic,1072
"Look, the only way to improve social programs is to raise taxes. You have to either raise taxes, or accept that the poor and needy are going to suffer.",false dilemma,719
Some teenagers in our community recently vandalized the park downtown. Teenagers are so irresponsible and destructive.,faulty generalization,2199
"Louise is running for class president. In her campaign speech she says, ""My opponent does not deserve to win. She is a smoker and she cheated on her boyfriend last year."" What fallacy has Louise committed?",ad hominem,2631
"""That's what abortion is - killing innocent humans for money. Abortionists are government licensed hit men.""",ad hominem,5651
She's just siding with them because it's fashionable.,ad hominem,1660
"It ' s the return of left-leaning scientists ' famous nemesis , "" Reality. ",ad hominem,1656
"""The only solutions I can see to climate change is either mass extinction of humans, or passing this green bill.""",false dilemma,2425
"If you don't like this policy, you must hate all government policies.",fallacy of extension,4394
"Jay: Dude, where are my car keys?
Silent Bob: (says nothing)
Jay: I KNEW you took them!
",fallacy of relevance,5711
"The one person I met in that profession was loud, so everyone in it must be loud.",faulty generalization,5766
"If you dislike this one rule, you must dislike all rules.",fallacy of extension,4252
"Premise: All black bears are omnivores.

Premise: All raccoons are omnivores.

Conclusion: All raccoons are black bears.",fallacy of logic,3097
Cereal yields decreasing ,intentional,5347
"Mom: Watching TV that close will make you go blind, so move back!
Jonny: That is B.S., Mom. Sorry, I am not moving.
",false causality,5680
"There's no point in pursuing education, as some wealthy people are uneducated.",fallacy of logic,5509
Global warming saves lives .,false causality,3189
"Ginger: Your dog just ran into our house and ransacked our kitchen!
Mary: He would never do that, look at how adorable he is with those puppy eyes!
",appeal to emotion,2934
Every severe recession follows a Republican Presidency; therefore Republicans are the cause of recessions.,false causality,4776
"Skeptics claim such anomalies prove that Earth can quickly warm and cool even in the absence of carbon dioxide , and any warming today may be caused by similar natural events .",faulty generalization,4181
"""In the business meeting, she proposed a new advertising plan for the dog food brand, but I found out she actually hates dogs. How can we trust her advertising skills?""",ad hominem,2606
"Using a water filter, my coworker got a pet. My filtered water encouraged them.",false causality,1385
"Either you're in control, or you're out of control.",false dilemma,4595
"""The best minds in physics have studied physics most of their lives, as it's necessary to study physics extensively to become a top physicist.",circular reasoning,1399
"We have to have the resources to combat the fires , and also have to invest in managing our vegetation and forests and all the ways we dwell in this very wonderful place  but a place that ' s getting hotter . ",appeal to emotion,1195
"Since you support organic food, you must think conventional farming is bad.",fallacy of extension,1408
"The fashion is iconic, so it must be widely recognized.",equivocation,1845
"I met a couple of rude people from that city, so everyone from there must be rude.",faulty generalization,1798
"Her answer was clear, so there should be no questions about it.",equivocation,1475
"If you support more environmental protection, you must hate business.",fallacy of extension,4194
In April the extent of Arctic sea ice was back to where it was in April 13 years ago .,fallacy of relevance,35
The product is valuable because it has worth.,circular reasoning,4704
"These are the highest CO2 levels in the 800,000 years for which we have good data . This is expected to have a catastrophic effect on human health and the planet .",ad populum,2345
Everyone is going to get the new smart phone when it comes out this weekend. Why aren't you?,ad populum,444
"Students who attend private schools tend to have higher GPAs, therefore, attending a private school must be the cause of higher GPAs.",false causality,3312
"If we legalize pot, the next thing you know people will want to legalize meth and heroin.",faulty generalization,2359
"Barbara believes the marketing agency's office is haunted. The cleaning crew once said they heard a other-worldly noise late at night. Since no one could prove that it wasn't a ghost, the office must be haunted.",intentional,3006
"In our lifetime , there has been no correlation between carbon dioxide emissions and temperature .",false causality,3654
You shouldn't avoid smoking because non-smokers still get sick too.,fallacy of logic,2206
"In 2012 , his colleague Roger Harrabin was reporting that the sea ice was now melting so fast that more had vanished that summer than "" at any time since satellite records began  .",intentional,5087
"That German, Fred, stole my wallet. All Germans are thieves.",faulty generalization,5132
"Yet , some scientists argue that the gas is not capable of producing the extreme temperature rises seen in recent decades .",intentional,3657
